command,mean,stddev,median,user,system,min,max
 ./main --numerico input/matriz_grande_peor.txt --algoritmo fb,2.421089275960001,0.062192782954307003,2.4243170977600004,2.4589240999999995,0.00150754,2.3341916412600003,2.5424555512600002
 ./main --numerico input/matriz_grande_peor.txt --algoritmo bt,0.21853362326,0.011240792759446212,0.22249216926,0.20544959999999998,0.0017275480000000002,0.19943817326,0.23140945026
 ./main --numerico input/matriz_grande_peor.txt --algoritmo pd,0.015792415960000004,0.003757446230276505,0.014389080260000001,0.00174845,0.0014983400000000001,0.01007722726,0.02200650526
 ./main --numerico input/matriz_mediana_peor.txt --algoritmo fb,0.02681590876,0.0053745315835103105,0.027227645260000002,0.009343299999999997,0.0018218559999999997,0.01867887726,0.03510447726
 ./main --numerico input/matriz_mediana_peor.txt --algoritmo bt,0.026383997059999997,0.005525506631971866,0.02734753326,0.0051974,0.0014117479999999998,0.017589610260000003,0.035772544260000004
 ./main --numerico input/matriz_mediana_peor.txt --algoritmo pd,0.01385070696,0.003291996715494718,0.013007077760000001,0.0008406999999999998,0.0018938639999999999,0.01022467326,0.01950202926
 ./main --numerico input/matriz_pequena_peor.txt --algoritmo fb,0.022309917959999998,0.003583261613604413,0.02357365726,0.0019037,0.0019211559999999998,0.014995668260000001,0.026403265260000003

// Estos datos difieren de los presentados en el informe dado que se volvió a correr el comando de hyperfine y se perdío el archivo original.
// Se adjunta el archivo a modo de ejemplo para mostrar el paso a paso de nuestro trabajo de manera más clara.